1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,0,0,0,0,0,0,0,0,0,0,0.36680623234995,0.3347467268056,0.278918270870273,0.218839950264724,0.226320463915763,0.199566391790746,0.466434335778606
0,0,0,0,0,0,0,0,0,0,0,0,0.549295029434123,0.829491313870417,0.707510651471423,0.792214745613121,0.364021492420355,0.297657784096427,0.456297460568443
0,0,0,0,0,0,0,0,0,0,0,0,0.431246998900857,0.702469963338973,0.932311720747842,0.738896882313613,0.522752998492602,0.411085567902382,0.350337492727122
0,0,0,0,0,0,0,0,0,0,0,0,0.863883166411229,0.571744656899862,0.395166127238983,0.607388390766804,0.619035871511984,0.552336565115421,0.786064355458665
0,0,0,0,0,0,0,0,0,0,0,0,0.608762707885489,0.391845489372291,0.601342711027019,0.542249665431416,0.917031293655695,0.951774884333706,0.596098473907496
0,0,0,0,0,0,0,0,0,0,0,0,0.312829553904291,0.510033088620228,0.434620863027592,0.461199092753497,0.235014501145649,0.111547850517081,0.398318561108588
0,0,0,0,0,0,0,0,0,0,0,0,0.395719481503925,0.528769685412196,0.430456936252063,0.418725750358771,0.286877964893479,0.166022182047407,0.550817171006724
0,0,0,0,0,0,0,0,0,0,0,0,0.720200660281061,0.402508230454547,0.478640825019997,0.525533436369857,0.938443513111746,0.952160406313666,0.540710975116672
0,0,0,0,0,0,0,0,0,0,0,0,0.55389112371675,0.385274862888286,0.419677539777102,0.421014088655885,0.934926022425777,0.989218258507985,0.307427699553328
0,0,0,0,0,0,0,0,0,0,0,0,0.377417880032142,0.333020418881613,0.271144144586825,0.240948250410904,0.247338123102797,0.305295142029428,0.568317947318187
0,0,0,0,0,0,0,0,0,0,0,0,0.386092419701472,0.329247893244892,0.249893254685678,0.151676864416411,0.247890071343371,0.229442353715056,0.704067176686947
0,0,0,0,0,0,0,0,0,0,0,0,0.41019304673465,0.404358825078,0.349951563979105,0.275019722393689,0.305593267826149,0.28844922669696,0.700012249191763
0.36680623234995,0.549295029434123,0.431246998900857,0.863883166411229,0.608762707885489,0.312829553904291,0.395719481503925,0.720200660281061,0.55389112371675,0.377417880032142,0.386092419701472,0.41019304673465,0,0,0,0,0,0,0
0.3347467268056,0.829491313870417,0.702469963338973,0.571744656899862,0.391845489372291,0.510033088620228,0.528769685412196,0.402508230454547,0.385274862888286,0.333020418881613,0.329247893244892,0.404358825078,0,0,0,0,0,0,0
0.278918270870273,0.707510651471423,0.932311720747842,0.395166127238983,0.601342711027019,0.434620863027592,0.430456936252063,0.478640825019997,0.419677539777102,0.271144144586825,0.249893254685678,0.349951563979105,0,0,0,0,0,0,0
0.218839950264724,0.792214745613121,0.738896882313613,0.607388390766804,0.542249665431416,0.461199092753497,0.418725750358771,0.525533436369857,0.421014088655885,0.240948250410904,0.151676864416411,0.275019722393689,0,0,0,0,0,0,0
0.226320463915763,0.364021492420355,0.522752998492602,0.619035871511984,0.917031293655695,0.235014501145649,0.286877964893479,0.938443513111746,0.934926022425777,0.247338123102797,0.247890071343371,0.305593267826149,0,0,0,0,0,0,0
0.199566391790746,0.297657784096427,0.411085567902382,0.552336565115421,0.951774884333706,0.111547850517081,0.166022182047407,0.952160406313666,0.989218258507985,0.305295142029428,0.229442353715056,0.28844922669696,0,0,0,0,0,0,0
0.466434335778606,0.456297460568443,0.350337492727122,0.786064355458665,0.596098473907496,0.398318561108588,0.550817171006724,0.540710975116672,0.307427699553328,0.568317947318187,0.704067176686947,0.700012249191763,0,0,0,0,0,0,0
